,Handle,Date,Text,Compound_Score,Positive_score,Negative_score,Neutral_score
28,@BBC,Mon Apr 02 23:20:19 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
29,@BBC,Mon Apr 02 23:20:13 +0000 2018,RT @cjsienna55: @egregormasters1 @BrutalVeracity @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Da…,0.0,0.0,0.0,1.0
30,@BBC,Mon Apr 02 23:20:10 +0000 2018,@COutwin @trevdick @lettiemarie17 @BBCNews @Ofcom @BBC @RobbieGibb Numbers are more important. Don't forget it's no… https://t.co/l310LfixDA,0.4629,0.223,0.0,0.777
31,@BBC,Mon Apr 02 23:20:06 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
32,@BBC,Mon Apr 02 23:20:02 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
33,@BBC,Mon Apr 02 23:19:57 +0000 2018,RT @Barbara40294093: @Icon99558924 @lunermoth @Eagle50425849 @Dausdava @hairlossclinic1 @curtainpullback @AWAKEALERT @AlgerianPalest @MGasm…,0.0,0.0,0.0,1.0
34,@BBC,Mon Apr 02 23:19:50 +0000 2018,"RT @carolecadwalla: Oh, right. My mistake. That was the second New Yorker story about Cambridge Analytica, AggregateIQ &amp; its links to the B…",-0.34,0.0,0.098,0.902
35,@BBC,Mon Apr 02 23:19:44 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
36,@BBC,Mon Apr 02 23:19:40 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
37,@BBC,Mon Apr 02 23:19:37 +0000 2018,@BrutalVeracity @cjsienna55 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/EES0aaP84M,0.0,0.0,0.0,1.0
38,@BBC,Mon Apr 02 23:19:37 +0000 2018,RT @BrutalVeracity: @egregormasters1 @cjsienna55 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Da…,0.0,0.0,0.0,1.0
39,@BBC,Mon Apr 02 23:19:36 +0000 2018,"@LennyHenry @bbc ""plantations"" were places of depraved inhumanity inflicted on African ppl. Why would @jamaica allo… https://t.co/MymFZojmd8",0.0,0.0,0.0,1.0
40,@BBC,Mon Apr 02 23:19:29 +0000 2018,"RT @ProfElvanAktas: “Kanl? Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…",0.0,0.0,0.0,1.0
41,@BBC,Mon Apr 02 23:19:28 +0000 2018,@antonioguterres @BanKimoon_amdg @TeamTrump @realDonaldTrump @KingSalman @HassanRouhani @RoyalFamily @CIA @FBI @bbc https://t.co/GYhVwDPN98,0.0,0.0,0.0,1.0
42,@BBC,Mon Apr 02 23:19:25 +0000 2018,@BrutalVeracity @FarSight3 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/3hC60ponYt,0.0,0.0,0.0,1.0
43,@BBC,Mon Apr 02 23:19:23 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
44,@BBC,Mon Apr 02 23:19:16 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
45,@BBC,Mon Apr 02 23:19:04 +0000 2018,@Umbertobaggio @Byline_Media @carolecadwalla @BBC This is simply THE biggest news story going.  The BBC should be a… https://t.co/zPtdDuHgRx,0.0,0.0,0.0,1.0
46,@BBC,Mon Apr 02 23:19:01 +0000 2018,RT @BrutalVeracity: @cjsienna55 @FarSight3 @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth @Dausdava…,0.0,0.0,0.0,1.0
47,@BBC,Mon Apr 02 23:18:32 +0000 2018,@RocketRacer69 @robertrea @Byline_Media @carolecadwalla @BBC In full.,0.0,0.0,0.0,1.0
48,@BBC,Mon Apr 02 23:18:32 +0000 2018,@DonnaWe51549635 @Eagle50425849 @cjsienna55 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF @lunermoth… https://t.co/Z8kpQWPCTr,0.0,0.0,0.0,1.0
49,@BBC,Mon Apr 02 23:18:26 +0000 2018,@egregormasters1 @BrutalVeracity @Eagle50425849 @Icon99558924 @JLadstone @OhRoyalOne @shaistasalam1 @JSinghF… https://t.co/GHtPyQKPCd,0.0,0.0,0.0,1.0
50,@BBC,Mon Apr 02 23:18:23 +0000 2018,RT @MissionBlue: Seychelles is growing its marine protected areas from 0.04% to 30% by 2020! https://t.co/y6VrSGo4eU #HopeSpots #OceanOptim…,0.5983,0.234,0.0,0.766
51,@BBC,Mon Apr 02 23:18:18 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
52,@BBC,Mon Apr 02 23:18:10 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
53,@BBC,Mon Apr 02 23:18:10 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
54,@BBC,Mon Apr 02 23:17:57 +0000 2018,"RT @carolecadwalla: Here's the New Yorker covering Cambridge Analytica, AggregateIQ and its links to the British government. The story not…",0.0,0.0,0.0,1.0
